Time iter	q1	qdot1	qddot1	q2	qdot2	qddot2	
30	0.023357985434821548	1.4324797298407308	34.52666701940373	-0.010846816009006685	-0.6739515977894175	-17.33658442905326	
31	0.024807405166943197	1.4664237948976249	33.364491847831395	-0.011529309830979157	-0.6910610074292063	-16.88349651359879	
32	0.02629018060388225	1.4991926164485347	32.17606779621517	-0.012228683473533878	-0.7077118561532195	-16.419421700799344	
33	0.027805123626191294	1.5307603905086666	30.962296666103942	-0.01294447299685719	-0.7238933641787126	-15.944769603967977	
34	0.0293510207225856	1.5611021444844064	29.72394271043693	-0.013676203878909204	-0.7395951468767489	-15.459927963607681	
35	0.030926633762090067	1.590193618107155	28.461662957031113	-0.014423391384996204	-0.7548071667612004	-14.965209257090637	
36	0.03253070067585628	1.6180111988975596	27.176087081762887	-0.015185540871854076	-0.7695196491607416	-14.460829042849966	
37	0.034161936119768095	1.6445319465726147	25.867918562162036	-0.015962148008180722	-0.7837229973331159	-13.94692545456975	
38	0.03581903220731388	1.6697337093182714	24.538021240492338	-0.016752698929689735	-0.7974077443285917	-13.423613869372717	
39	0.037500659388869345	1.6935953022847312	23.187460615066527	-0.017556670377537574	-0.8105645666187015	-12.891057868179665	
40	0.039205467513123315	1.7160966964451911	21.817484934232375	-0.018373529883022984	-0.8231843630272322	-12.34953164069213	
41	0.040932087052851986	1.737219161570118	20.429451709398812	-0.019202736053516793	-0.8352583795510075	-11.799451807492952	
42	0.042679130428806854	1.7569453216322142	19.02472342177073	-0.020043738987167322	-0.8467783442221012	-11.241366978654534	
43	0.04444519333823198	1.7752591091304373	17.604565930622172	-0.02089598080622625	-0.8577365717445852	-10.675907474663887	
44	0.04622885599711042	1.7921456368929956	16.170081478992536	-0.02175889626337586	-0.8681260065024995	-10.10371063411556	
45	0.048028684236235124	1.8075910312626267	14.722196236978913	-0.02263191335376513	-0.8779401914723329	-9.525344754352961	
